"Run_Number","Score","Cost","Planning_Units","Connectivity","Connectivity_Total","Connectivity_In","Connectivity_Edge","Connectivity_Out","Connectivity_In_Fraction","Penalty","Shortfall","Missing_Values","MPM"
1,3858815538.507435,3858815538.507435,328,5768000.000000,21908000.000000,1052000.000000,5768000.000000,15088000.000000,0.048019,0.000000,0.000000,0,1.000000
2,3952789480.467302,3952163335.163696,335,6048000.000000,21908000.000000,996000.000000,6048000.000000,14864000.000000,0.045463,626145.303606,29359.057630,0,0.999504
3,3866539758.664759,3861996547.109936,330,6016000.000000,21908000.000000,952000.000000,6016000.000000,14940000.000000,0.043454,4543211.554823,241286.973029,0,0.997389
4,3890264620.435271,3890119695.883367,333,5928000.000000,21908000.000000,1032000.000000,5928000.000000,14948000.000000,0.047106,144924.551904,9143.948270,0,0.999950
5,3928644362.729352,3920217379.397895,340,5952000.000000,21908000.000000,1104000.000000,5952000.000000,14852000.000000,0.050393,8426983.331457,331535.126470,0,0.998313
6,3973278367.008664,3972754528.757636,338,6184000.000000,21908000.000000,964000.000000,6184000.000000,14760000.000000,0.044002,523838.251028,22502.208450,0,0.999580
7,3937837999.853515,3935131090.283236,334,6104000.000000,21908000.000000,956000.000000,6104000.000000,14848000.000000,0.043637,2706909.570279,95536.432620,0,0.999703
8,3987695929.074486,3987607512.685938,336,6016000.000000,21908000.000000,1024000.000000,6016000.000000,14868000.000000,0.046741,88416.388548,3798.050260,0,0.999929
9,3905474232.639940,3901830746.201797,337,6088000.000000,21908000.000000,1000000.000000,6088000.000000,14820000.000000,0.045645,3643486.438144,119965.982930,0,0.999178
10,3996294326.544270,3995578404.187027,338,5896000.000000,21908000.000000,1108000.000000,5896000.000000,14904000.000000,0.050575,715922.357243,106760.306449,0,0.999876
